"","Q7","Q10","Q11","Q16","Q18","Q19","Q20","Q21","Q22","Q23","Q24","Q25","Q26","Q28","Q29","Q30","Q31","Q32","Q34","Q35","Q36","Q37","Q38","Q39","Q40","Q42","Q43","Q44","Q45","Q47","Q49","Q50","Q51","Q52","Q53","Q54","Q56","Q57","Q58","Q59","Q60","Q62","Q63","Q64","Q65","Q66","Q68","Q69","Q70","Q71","Q72","Q73","Q74","Q76","Q77","Q78","Q79","Q80","Q81"
"11",4,2,3,2,4,4,3,1,4,2,1,4,1,3,3,3,2,3,3,3,4,4,4,3,3,3,3,4,4,2,2,3,2,3,3,3,3,1,4,2,1,3,3,2,3,4,3,3,3,3,3,2,3,4,4,3,3,3,2
"12",2,3,3,4,4,3,1,2,4,3,1,4,2,3,4,3,2,4,2,5,3,5,4,5,3,3,3,3,3,2,3,1,4,3,2,5,3,4,3,3,1,3,3,2,2,5,2,4,4,2,4,3,5,5,4,4,3,4,1
"13",3,2,3,2,4,2,2,2,3,2,3,3,4,2,4,1,4,5,3,4,1,5,3,3,1,4,2,3,2,1,4,3,1,2,3,4,4,3,1,4,5,3,3,5,2,5,1,2,2,4,1,1,3,2,3,2,1,2,2
"14",2,2,1,2,3,4,1,2,2,1,1,3,1,1,1,2,2,2,2,2,1,1,2,2,3,2,2,3,2,1,2,1,3,2,2,2,2,1,2,1,2,3,2,1,2,1,2,2,2,2,2,1,2,3,2,1,1,2,2
"15",1,1,2,1,3,1,1,1,1,1,1,4,1,1,1,2,1,1,1,5,2,1,4,5,2,2,1,1,3,1,1,1,1,1,1,4,3,3,1,1,1,1,1,1,1,1,3,3,2,5,1,4,3,3,4,3,1,3,3
"16",2,3,5,3,3,5,3,1,4,2,2,3,2,5,4,2,5,4,4,3,3,4,4,5,3,5,3,4,3,1,4,1,4,3,2,4,4,5,2,5,1,3,3,4,1,5,2,4,3,2,2,3,5,5,4,4,2,3,1
"17",1,1,3,1,3,1,2,4,2,1,2,5,1,1,2,1,2,4,3,2,2,4,2,2,3,2,1,2,4,1,1,1,2,2,3,3,3,1,2,1,1,3,1,1,2,2,1,2,2,2,1,1,2,5,3,1,2,1,1
"18",1,2,2,3,3,1,1,1,3,1,1,4,3,2,1,3,2,4,2,4,1,4,2,3,1,1,2,2,4,2,2,2,1,3,1,4,3,3,4,3,3,2,1,3,1,2,3,3,4,3,3,3,2,1,2,3,4,4,3
"19",1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,1,1,2,2,1,1,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,3,1,2,1,1,1,2,1,1,1,1,1,1,1
"20",1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",5,2,3,1,3,3,1,1,5,3,1,5,1,1,3,2,1,3,2,5,2,4,2,5,3,3,2,2,5,3,2,1,5,1,5,5,4,1,3,1,1,2,2,1,1,4,1,5,1,3,1,3,4,3,2,5,2,5,1
"22",3,1,3,3,4,1,1,1,4,3,1,4,1,5,1,1,4,3,4,4,4,4,4,3,3,5,1,3,5,1,5,1,1,1,4,5,4,1,3,4,1,3,1,3,1,3,3,4,3,4,1,5,4,3,4,5,3,5,1
"23",4,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,1,3,3,3,1,4,4,4,1,4,1,3,4,4,4,3,1,4,1
"24",3,5,3,2,3,3,4,4,5,2,3,4,1,3,5,3,1,3,4,5,3,3,5,4,4,3,2,4,4,2,2,5,5,4,4,3,5,3,4,4,1,5,5,4,2,3,4,4,3,4,4,5,3,4,5,5,3,3,3
"25",5,3,5,2,4,3,4,3,4,3,2,4,5,5,3,3,1,4,2,5,4,4,5,2,3,3,5,5,4,1,3,5,4,3,4,4,4,5,4,3,1,5,4,3,5,2,5,4,2,5,2,5,5,2,5,5,4,4,3
"26",5,4,5,5,4,3,3,3,4,3,3,5,2,4,4,3,4,5,4,4,4,4,4,4,5,4,4,4,5,3,4,1,4,4,4,4,5,4,4,3,1,3,4,3,4,4,2,3,2,5,1,2,4,5,5,3,5,5,2
"27",4,1,3,4,3,1,5,5,5,3,1,4,4,3,5,3,5,5,3,3,3,5,5,5,2,1,1,4,5,2,2,1,5,1,3,2,2,4,3,2,3,2,3,2,2,1,4,5,4,5,4,5,5,3,5,5,1,5,3
"28",3,1,2,1,4,1,1,3,5,3,2,3,1,1,1,3,1,3,2,3,4,2,3,3,2,2,1,1,4,3,1,1,3,3,1,2,2,1,4,2,1,2,2,1,1,4,2,3,3,3,1,3,3,4,3,2,1,4,2
"29",2,2,2,1,2,2,1,1,4,1,2,3,1,1,3,1,1,2,2,4,3,2,3,3,1,2,2,3,4,1,1,1,2,1,1,3,3,1,4,1,1,1,2,1,1,2,2,3,2,2,1,2,2,1,2,2,2,1,2
"30",4,1,4,2,4,4,5,2,3,5,1,4,4,4,5,4,3,5,2,4,5,4,4,3,2,4,4,5,3,3,4,4,4,4,2,3,3,5,3,4,4,2,3,3,2,4,4,4,3,4,2,3,3,4,5,3,4,3,4
"31",5,4,2,3,1,3,3,3,4,2,3,5,2,2,3,3,4,2,4,5,5,4,5,4,4,3,4,4,5,2,3,3,4,4,5,5,4,4,3,3,3,3,3,4,2,5,3,5,4,3,2,5,4,5,4,5,4,5,4
"32",2,1,3,2,3,1,1,1,3,1,1,3,1,1,2,1,2,3,1,2,4,2,3,4,2,3,1,2,2,1,2,3,1,2,2,2,3,1,2,2,1,2,2,2,3,4,2,2,3,2,2,2,3,4,3,2,2,3,2
"33",3,1,2,3,1,3,5,2,5,4,3,3,3,3,4,1,3,4,4,4,4,5,4,5,3,3,3,5,5,3,3,3,5,3,3,4,2,1,4,3,2,4,3,2,1,5,1,4,3,5,3,3,3,4,4,2,3,4,3
"34",4,4,3,4,4,4,4,2,4,4,3,4,4,4,4,3,4,3,3,3,4,4,4,3,3,4,3,4,4,1,4,4,4,4,4,4,4,4,4,3,1,4,4,4,4,4,3,3,1,3,1,2,3,3,3,3,2,3,3
"35",2,3,1,3,5,1,4,1,3,2,3,5,1,1,2,3,4,4,2,4,2,2,3,3,1,3,3,3,2,2,2,2,3,3,1,3,4,1,2,2,1,1,4,1,1,4,1,4,1,3,1,1,4,2,3,5,1,2,1
"36",4,1,3,2,3,1,4,3,2,1,3,4,1,2,2,1,1,4,2,5,2,2,4,4,5,4,1,2,5,1,2,1,1,2,3,4,1,2,3,2,2,3,2,2,2,5,1,3,1,5,2,3,4,4,4,3,1,4,1
"37",1,1,1,1,2,1,1,2,3,1,1,4,1,1,1,1,1,4,1,2,2,2,4,4,3,1,1,4,4,1,1,1,4,1,1,3,3,2,3,2,1,2,1,1,1,1,2,4,3,2,2,3,3,3,3,4,3,3,2
"38",2,1,2,2,1,3,3,5,2,3,1,2,1,1,1,1,1,2,1,1,2,2,1,4,1,1,1,1,1,2,1,1,2,1,1,1,2,2,1,2,2,1,2,1,3,4,1,3,1,4,1,1,1,1,1,2,1,2,1
"39",3,2,4,1,5,5,4,5,5,2,5,5,1,5,5,1,1,4,4,5,3,5,5,5,5,5,5,5,5,1,3,3,4,2,3,5,5,5,5,2,4,2,4,3,2,5,3,3,1,4,1,5,4,5,5,4,3,2,1
"40",1,1,1,1,3,1,1,1,2,2,1,2,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,3,3,3,1,3,1,1,5,3,4,2,1,4,1
"41",1,2,2,3,4,1,1,1,3,1,1,2,2,2,2,3,3,1,2,3,3,3,4,2,4,3,1,4,3,1,1,3,1,2,1,3,3,3,2,2,1,1,2,1,2,2,3,4,3,4,1,4,3,5,3,4,2,4,1
"42",2,2,2,1,3,3,3,3,3,1,4,3,3,1,1,2,2,2,2,3,2,2,3,4,2,3,2,3,5,1,1,1,2,1,1,4,3,2,2,3,3,2,2,1,2,2,3,3,3,1,1,2,1,3,1,3,3,2,1
"43",3,1,2,1,3,1,1,1,3,1,1,3,1,1,1,1,1,1,3,4,3,3,1,3,1,2,2,2,2,1,1,1,2,1,2,3,1,2,1,1,1,2,1,2,1,4,1,3,1,1,1,2,1,3,1,3,1,2,1
"44",2,1,2,1,2,1,1,1,3,2,1,4,1,3,2,1,1,3,2,3,3,3,3,3,2,2,1,3,3,1,3,1,1,2,2,2,2,1,3,1,1,3,2,3,1,4,1,3,2,3,1,2,2,2,2,3,2,3,1
"45",3,2,4,1,4,1,1,4,4,1,2,4,1,1,2,1,1,3,3,4,3,4,1,3,3,2,2,1,3,1,3,1,1,2,2,4,3,3,3,2,1,4,3,1,2,1,1,3,1,5,1,4,3,2,3,3,3,4,3
"46",2,3,2,2,3,2,4,2,3,1,3,4,1,1,4,3,3,4,2,4,1,3,2,4,2,3,3,2,4,1,1,1,5,1,2,4,4,4,2,2,1,1,2,1,1,4,2,3,2,3,1,1,4,4,3,3,2,3,1
"47",1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,2,1
"48",4,1,4,2,3,2,1,5,4,3,2,4,2,2,4,3,3,4,4,5,3,5,3,3,4,4,3,2,4,2,2,1,3,2,3,4,4,2,4,2,2,4,4,2,4,3,3,4,3,4,2,3,3,3,4,2,3,4,3
"49",5,1,3,3,5,3,5,5,5,1,3,5,1,2,1,1,2,4,1,5,3,5,5,5,5,1,2,3,3,1,3,1,5,1,2,5,3,5,4,1,1,5,4,1,2,4,2,5,4,5,2,4,5,3,4,5,4,5,3
"50",4,4,5,4,5,4,4,5,5,4,5,5,4,2,3,5,5,5,5,5,5,5,4,5,5,5,4,5,5,2,3,4,1,5,5,5,5,4,5,3,1,3,5,4,5,5,5,5,5,5,4,5,4,5,4,5,4,5,3
"51",4,1,3,3,4,4,3,3,4,2,3,5,3,1,4,2,3,3,1,5,4,4,3,4,3,3,3,3,3,1,2,1,4,3,3,5,5,3,3,2,1,1,4,1,1,4,3,2,2,4,3,5,4,2,4,5,3,4,2
"52",5,2,4,3,5,5,5,5,3,5,5,5,1,2,5,3,5,4,4,5,5,5,5,1,5,5,4,3,3,2,4,4,5,4,1,5,5,4,1,3,4,1,4,4,5,4,2,3,2,5,2,3,4,5,5,3,2,4,2
"53",2,1,2,2,4,2,2,3,4,3,3,4,1,2,3,3,2,4,3,4,4,3,3,1,2,2,3,3,4,1,3,1,3,2,2,3,4,1,3,1,1,1,2,3,2,5,3,5,4,4,3,3,3,3,4,3,4,4,2
"54",1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,3,1,2,1,1,1,1,1,2,1,1,3,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,3,1,2,1,1,1,2,3,3,2,3,1
"55",4,3,3,3,4,3,4,2,3,2,4,4,3,3,4,1,3,3,2,3,4,4,4,3,3,3,3,3,3,2,2,1,3,2,3,3,3,2,1,3,2,3,1,2,1,3,3,4,2,4,1,3,3,3,4,3,3,4,2
"56",5,3,4,3,4,4,4,3,4,4,3,4,2,4,3,2,3,3,4,5,2,4,3,3,4,3,2,1,3,2,4,3,3,2,3,5,2,3,3,3,1,3,2,4,2,2,2,2,2,3,1,2,3,3,4,3,2,3,1
"57",3,4,4,4,4,4,1,1,5,4,1,4,4,3,2,4,5,4,4,5,3,4,5,4,3,4,1,4,5,3,3,5,2,4,3,5,4,4,4,3,3,1,3,2,2,5,3,3,1,5,1,1,5,4,4,3,1,4,4
"58",5,4,4,3,5,4,5,1,5,3,2,5,3,4,5,4,5,5,1,4,3,5,3,4,1,5,4,4,3,1,4,1,3,4,1,5,5,1,4,3,3,5,5,3,2,3,1,4,3,5,2,3,4,4,4,3,2,4,2
"59",1,1,3,3,3,2,2,2,4,2,2,4,1,1,2,2,3,3,3,2,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,3,3,1,2,2,1,4,2,1,2,4,2,2,1,3,1,2,2,4,2,2,1,3,1
"60",3,2,2,2,2,2,2,1,2,3,2,4,1,2,2,2,1,4,2,3,3,3,4,4,2,2,1,2,3,3,1,1,4,1,3,3,2,1,2,2,1,3,2,2,1,2,3,3,2,3,2,3,3,4,3,2,2,4,2
"61",1,1,1,1,2,1,1,1,3,2,1,2,1,3,2,2,1,2,1,3,3,2,2,3,2,2,1,1,3,1,1,1,1,1,2,3,2,1,3,2,1,2,1,2,1,2,3,3,1,4,1,3,4,3,2,3,1,3,2
"62",4,1,5,4,4,4,4,3,4,4,2,5,4,4,3,4,3,5,4,5,3,4,3,4,4,4,2,3,5,3,4,4,2,4,5,5,4,5,5,3,3,3,4,5,4,5,5,5,3,5,3,2,4,3,4,5,4,5,3
"63",4,2,2,2,2,3,2,2,4,3,2,4,1,3,4,2,2,3,3,4,2,4,3,4,2,4,1,2,3,3,3,1,4,1,2,4,3,3,3,2,1,2,3,2,1,2,2,4,4,4,1,4,3,4,4,3,2,2,1
"64",4,1,4,1,5,2,4,2,5,1,1,4,1,1,5,1,2,1,4,5,4,5,5,5,1,4,3,4,4,1,2,1,2,2,4,5,5,4,5,1,2,4,3,2,4,5,4,4,2,3,2,4,4,5,2,4,5,5,4
"65",3,1,2,1,4,1,3,1,3,2,1,4,1,2,1,1,1,1,2,4,2,1,2,1,2,1,2,2,3,1,1,1,1,1,1,4,1,1,1,1,1,2,1,2,4,2,1,5,1,2,1,1,4,1,1,1,1,1,1
"66",4,3,5,5,4,4,5,5,5,3,4,5,5,4,5,4,5,4,3,5,4,5,5,4,4,5,4,5,3,3,4,5,2,3,4,5,5,5,3,3,3,4,5,4,4,5,3,3,2,5,2,2,5,1,4,4,4,5,1
"67",5,4,5,5,5,4,5,5,5,4,3,5,3,5,5,3,5,4,5,4,5,5,5,4,5,5,3,5,5,4,5,1,5,4,5,4,4,3,5,4,3,5,4,5,1,5,3,3,3,3,3,3,4,4,4,4,3,4,4
"68",3,1,2,3,2,2,2,2,2,1,3,4,1,1,3,3,3,3,1,3,2,2,3,4,2,3,2,2,3,1,1,3,3,1,3,3,2,1,2,1,1,1,3,2,3,3,3,2,1,3,1,2,3,2,3,3,1,3,1
"69",3,1,1,1,4,4,3,4,5,1,1,3,2,2,1,3,2,4,1,5,2,4,5,5,4,1,1,3,5,1,2,4,2,1,4,5,3,3,4,2,1,1,2,2,1,5,4,4,1,3,1,4,1,1,4,4,1,2,1
"70",1,1,2,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,3,3,1,1,3,3,1,1,1,3,1,1,1,1,2,1,1,3,4,1,3,1,1,1,1,1,1,1,1,3,1,2,1,1,1,2,1,1,1,4,1
"71",4,1,2,3,3,2,3,1,4,3,2,3,1,1,3,2,1,3,3,5,3,4,3,3,3,2,2,3,3,2,1,1,3,1,3,3,2,1,2,1,1,3,2,1,3,4,2,4,2,3,1,2,5,4,3,3,3,5,1
"72",3,1,3,2,5,5,3,4,3,3,4,4,3,3,2,3,4,4,4,5,4,4,4,4,4,4,3,4,3,2,3,1,1,2,4,4,4,5,4,4,1,2,5,3,2,4,3,4,4,3,4,4,3,5,3,4,4,5,2
"73",4,1,4,4,4,5,3,3,5,5,3,5,2,2,3,3,4,4,2,3,3,3,4,3,3,4,2,4,4,2,2,1,5,1,2,3,4,1,5,3,1,5,3,2,1,5,1,3,1,3,1,1,3,5,3,1,1,2,1
"74",5,2,5,3,4,5,5,3,5,3,3,4,4,3,4,4,3,4,5,5,4,4,5,4,5,4,4,5,5,1,4,4,4,4,4,5,5,3,5,4,5,4,4,4,3,5,3,2,3,4,2,2,3,4,4,1,2,3,2
"75",2,2,2,1,3,2,3,3,3,2,1,4,2,3,1,3,2,3,3,3,3,4,2,3,4,3,2,3,4,2,3,1,1,1,3,4,3,1,3,3,1,3,3,3,2,4,1,2,2,3,2,3,3,2,3,1,3,2,1
"76",1,2,1,1,1,1,1,1,4,2,1,4,1,1,3,1,1,3,3,3,1,1,3,1,1,1,1,1,2,2,1,1,2,1,1,3,3,2,2,1,1,2,1,1,1,4,3,4,1,3,1,4,3,3,3,4,3,4,3
"77",5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,1,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,4,3,5,5,5,3,4,4,5
"78",2,3,2,2,5,1,3,4,5,2,1,4,3,2,4,2,2,5,3,5,1,5,4,5,5,3,2,5,5,2,2,3,4,4,4,5,5,4,5,4,1,4,3,4,2,4,3,5,5,4,5,5,3,5,5,5,5,4,1
"79",1,1,3,2,3,3,2,1,4,1,1,2,1,1,1,1,1,3,1,3,3,3,3,4,1,1,1,3,4,1,1,1,1,1,2,3,3,3,2,1,1,3,1,1,1,5,1,4,3,3,2,3,2,1,4,4,2,4,1
"80",2,4,3,3,3,2,5,3,3,5,3,4,3,4,4,4,3,4,4,5,5,4,4,4,1,4,3,3,5,2,4,4,2,3,4,4,4,4,4,4,1,4,3,4,1,5,3,3,3,3,1,3,4,2,5,4,1,4,4
"81",3,5,4,5,5,5,5,4,5,3,2,5,4,5,5,5,5,4,5,5,5,4,5,5,5,5,4,4,5,2,5,1,5,4,5,5,5,5,4,4,3,4,5,4,2,4,4,4,4,5,3,5,5,5,5,5,3,5,5
"82",3,4,3,3,3,3,4,3,3,3,4,3,NA,2,3,3,3,2,4,3,4,4,3,3,3,NA,3,3,3,1,2,4,3,3,3,3,3,4,3,3,3,2,3,2,3,4,2,3,4,3,4,4,4,4,4,3,3,NA,4
"83",4,3,3,2,3,4,2,3,4,3,3,4,3,2,4,4,3,4,4,4,4,5,5,5,4,3,3,3,4,3,2,2,3,2,3,3,3,2,3,2,2,3,3,3,2,4,1,3,2,1,1,2,2,2,2,3,3,3,2
"84",3,2,4,4,5,3,2,4,4,4,2,5,3,3,3,4,2,4,4,5,5,4,4,4,5,4,3,4,5,4,3,4,4,5,4,5,5,5,4,4,1,5,5,4,3,4,3,4,4,5,4,3,4,5,5,5,4,4,3
"85",NA,1,NA,NA,3,3,NA,1,4,1,3,3,1,2,4,2,2,3,3,4,1,3,4,3,3,3,2,2,4,1,2,4,3,3,4,4,3,NA,3,NA,NA,3,2,2,1,2,3,2,1,2,1,2,3,4,4,2,3,3,4
"86",3,3,1,1,1,4,1,1,4,1,3,1,1,1,4,1,2,3,1,5,2,1,3,4,1,1,2,3,2,1,2,4,5,1,1,2,2,3,3,2,1,1,1,1,1,2,3,4,1,3,1,4,2,1,2,3,1,4,1
"87",1,1,4,4,3,2,5,5,4,1,1,5,3,3,1,1,1,3,1,5,4,4,5,4,5,3,1,4,4,1,1,1,5,1,1,5,4,1,4,1,1,1,1,5,3,4,1,5,3,4,1,2,5,5,4,4,3,5,1
"88",4,4,3,3,4,1,1,3,4,1,3,4,1,3,1,1,3,1,5,3,3,3,3,4,1,3,1,1,1,1,3,4,1,3,5,3,4,1,1,1,3,3,3,3,1,4,1,4,3,4,1,1,4,3,4,2,4,4,1
"89",4,3,2,2,4,2,2,1,3,3,1,4,2,2,2,3,2,4,3,2,3,3,3,4,2,3,2,3,3,2,2,1,2,1,2,3,2,1,4,2,1,3,2,2,1,4,2,3,1,4,1,2,3,4,2,2,2,4,2
"90",1,1,4,1,4,4,1,3,4,1,1,5,1,3,1,2,3,1,5,5,5,3,3,5,4,3,3,3,5,1,2,1,1,1,4,5,3,1,4,3,1,4,1,1,1,5,1,5,1,4,1,1,2,4,2,4,2,4,1
"91",2,2,3,1,3,1,1,1,5,1,2,4,1,1,1,1,1,2,3,3,2,2,4,4,3,2,1,4,4,3,1,1,1,1,4,3,3,1,2,2,1,3,1,2,1,5,1,3,1,1,1,3,2,1,2,2,1,1,1
"92",2,5,3,3,3,5,4,5,5,4,3,5,5,3,1,3,2,5,1,5,2,3,5,4,2,2,1,3,5,1,1,4,2,4,3,3,5,3,5,3,1,5,4,1,1,4,2,2,4,5,3,5,3,2,2,3,5,4,5
"93",3,1,2,3,3,3,3,4,4,2,3,5,1,2,2,2,1,4,2,3,4,4,3,4,2,2,3,2,4,3,2,1,2,4,1,3,4,2,2,2,1,3,3,2,2,4,2,3,1,3,1,4,5,3,4,4,2,2,2
"94",4,1,4,4,5,5,3,5,4,3,3,5,4,4,4,4,3,4,4,5,5,3,4,5,2,4,3,5,5,2,4,4,2,5,5,5,4,4,4,5,3,4,4,4,3,4,5,4,4,5,1,3,4,4,4,4,3,4,2
"95",2,2,2,1,2,4,2,2,3,2,2,2,1,2,1,2,1,1,4,3,1,4,3,3,1,1,2,1,3,1,1,1,2,1,1,2,3,1,1,2,1,3,1,2,1,3,1,2,1,1,1,2,1,1,3,2,1,1,2
"96",3,1,1,1,3,1,1,1,3,1,1,2,1,1,2,1,1,2,1,3,1,2,1,4,2,1,2,1,2,1,1,1,1,2,2,2,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,4,1,1,2,3,1,3,1
"97",3,2,2,2,1,2,1,2,4,1,3,3,1,1,2,3,3,4,1,3,2,3,1,2,2,2,1,3,2,1,1,1,4,1,2,3,1,2,1,1,1,1,1,1,2,1,2,3,2,3,1,4,4,1,1,3,3,5,1
"98",5,2,3,5,5,4,4,4,4,3,4,4,5,4,4,4,3,4,3,5,5,4,5,5,4,4,5,4,5,1,4,5,1,4,3,5,4,5,3,5,4,4,4,5,4,4,4,5,5,5,3,5,3,5,3,5,4,4,1
"99",5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,4,1,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,4,5,2,5,5,3,1,3,1,4,5,4,4,4,2,5,3
"100",1,3,3,1,5,4,1,1,5,1,5,4,2,2,4,1,2,1,1,5,2,5,5,4,1,2,3,2,4,1,3,1,4,5,3,4,5,5,4,4,1,1,3,3,1,3,3,5,3,4,3,4,4,4,4,5,5,5,1
"101",1,1,1,2,2,2,1,2,3,1,1,2,1,1,2,2,3,2,2,3,3,3,3,3,1,3,1,1,1,1,1,1,1,1,1,4,2,1,1,1,1,1,1,2,1,3,1,3,1,3,1,3,3,1,3,3,1,2,1
"102",1,1,2,1,3,1,1,2,3,2,1,2,2,2,3,1,2,2,2,4,3,4,2,4,3,4,2,2,3,1,1,1,2,2,3,4,3,2,2,1,1,2,3,2,2,3,1,2,1,2,1,1,3,3,4,2,2,3,1
"103",3,1,1,2,2,1,1,1,4,2,2,3,1,2,2,1,1,2,1,4,2,1,3,3,1,2,1,2,2,1,2,1,3,1,1,4,1,1,1,1,1,5,1,1,1,5,1,3,1,2,1,3,1,2,1,3,1,3,1
"104",3,2,3,2,2,4,1,4,5,2,4,4,1,1,3,1,2,2,2,3,3,3,4,4,3,4,3,4,3,1,2,1,2,2,3,3,3,2,4,1,2,1,3,2,3,3,1,4,2,3,1,3,4,5,3,2,3,3,1
"105",3,2,1,3,5,5,2,1,5,3,5,4,3,4,4,3,3,3,5,5,1,5,5,4,1,4,4,4,4,1,3,5,3,4,2,4,5,1,3,4,1,4,2,4,3,5,2,5,2,5,1,1,2,1,2,3,4,4,4
"106",3,3,4,3,3,4,5,3,5,2,3,4,2,2,4,3,3,4,3,4,4,4,4,5,4,5,4,4,3,1,3,4,3,2,3,2,4,4,4,2,2,3,3,4,2,5,4,3,2,3,1,5,3,3,4,5,2,4,4
"107",1,1,1,1,1,2,1,1,3,1,1,3,1,1,1,1,1,2,2,1,2,1,3,2,1,2,2,3,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,3,2,1,1,1,1,1,2,2,2,2,1
"108",1,1,1,4,1,2,2,1,2,1,1,2,1,1,2,1,2,4,1,2,2,4,2,2,1,2,2,2,2,1,1,1,2,2,1,2,2,2,1,1,1,1,1,2,1,2,2,2,3,4,1,2,2,2,4,2,3,2,2
"109",3,1,1,3,1,1,1,1,3,1,1,3,NA,1,4,3,3,1,4,3,3,4,3,4,1,NA,4,1,3,1,1,1,1,1,1,4,3,1,3,2,1,1,1,3,1,4,1,3,1,1,1,3,3,3,1,1,2,3,1
"110",NA,1,2,1,3,2,3,1,4,1,2,3,NA,2,4,3,2,3,3,4,3,2,4,4,2,3,3,4,3,2,2,3,3,NA,4,4,3,1,3,3,NA,2,3,2,1,4,3,3,2,3,1,1,3,3,4,2,3,4,4
"111",1,1,1,3,1,1,1,2,4,1,1,4,1,1,1,1,1,1,1,3,1,2,4,5,1,3,1,2,3,1,1,1,4,1,1,3,5,1,3,1,1,1,2,1,1,1,3,1,1,4,1,5,3,1,4,1,1,2,2
